project_folder,photo_filename,colony_id,class,substrate,area_cm2,perimeter_cm,length_cm,width_cm
nb_black_2-5-26,P2050024,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050025,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050026,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050027,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050029,0,OANN,,48.915,30.705,11.334,6.368
nb_black_2-5-26,P2050030,0,OANN,,25.349,22.498,7.168,5.499
nb_black_2-5-26,P2050031,0,OANN,,10.048,13.196,3.837,3.779
nb_black_2-5-26,P2050032,0,OANN,,2.87,9.123,2.468,2.014
nb_black_2-5-26,P2050033,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050035,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050036,0,PAST,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050037,0,ORBI,,1.489,5.816,2.084,1.299
nb_black_2-5-26,P2050038,0,PAST,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050039,0,PAST,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050040,0,DLAB,,83.935,44.047,11.966,11.498
nb_black_2-5-26,P2050041,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050042,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050043,0,OANN,,39.394,36.183,10.811,6.798
nb_black_2-5-26,P2050044,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050045,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050046,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050047,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050048,0,SIST,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050049,0,SIST,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050050,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050051,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050052,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050053,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050054,0,SIST,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050055,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050056,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050057,0,SIST,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050058,0,SIST,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050059,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050060,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050061,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050062,0,SIST,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050063,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-5-26,P2050064,0,PAST,,0.0,0.0,0.0,0.0
