
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2026-06-25T16:19:53Z,,18.345337109640241,-64.692503493279219,18.346646865829825,-64.690946387127042,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,
,,49,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050049.JPG,
,,50,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050050.JPG,
,,51,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050051.JPG,
,,52,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050052.JPG,
,,53,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050053.JPG,
,,54,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050054.JPG,
,,55,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050055.JPG,
,,56,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050056.JPG,
,,57,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050057.JPG,
,,58,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050058.JPG,
,,59,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050059.JPG,
,,60,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050060.JPG,
,,61,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050061.JPG,
,,62,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050062.JPG,
,,63,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050063.JPG,
,,64,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050064.JPG,
,,65,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050065.JPG,
,,66,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050066.JPG,
,,67,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050067.JPG,
,,68,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050068.JPG,
,,69,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050069.JPG,
,,70,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050070.JPG,
,,71,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050071.JPG,
,,72,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050072.JPG,
,,73,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050073.JPG,
,,74,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050074.JPG,
,,75,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050075.JPG,
,,76,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050076.JPG,
,,77,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050077.JPG,
,,78,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050078.JPG,
,,79,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050079.JPG,
,,80,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050080.JPG,
,,81,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050081.JPG,
,,82,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050082.JPG,
,,83,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050083.JPG,
,,84,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050084.JPG,
,,85,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050085.JPG,
,,86,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050086.JPG,
,,87,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050087.JPG,
,,88,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050088.JPG,
,,89,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050089.JPG,
,,90,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050090.JPG,
,,91,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050091.JPG,
,,92,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050092.JPG,
,,93,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050093.JPG,
,,94,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050094.JPG,
,,95,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050095.JPG,
,,96,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050096.JPG,
,,97,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050097.JPG,
,,98,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050098.JPG,
,,99,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050099.JPG,
,,100,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050100.JPG,
,,101,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050101.JPG,
,,102,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050102.JPG,
